municipio_ciudad;departamento;tarifa
GUALMATÁN ;Nariño;13000
GUALMATÁN ALTO ;Nariño;13000
GUANAMA ;Nariño;13000
GUAYABAL ;Nariño;13000
ILES ;Nariño;13000
IMUÉS ;Nariño;13000
INNATAS BAJO ;Nariño;13000
IPIALES  ;Nariño;10200
ISCUANDÉ ;Nariño;13000
JUNÍN ;Nariño;13000
JURADO ;Nariño;13000
LA ALIANZA ;Nariño;13000
LA CRUZ ;Nariño;13000
LA ESTANCIA ;Nariño;13000
LA FLORIDA ;Nariño;13000
LA GUAYACANA ;Nariño;13000
LA LAGUNA ;Nariño;13000
LA LLANADA ;Nariño;13000
LA PALMA ;Nariño;13000
LA TOLA ;Nariño;13000
LA UNIÓN  ;Nariño;10200
LA VICTORIA ;Nariño;13000
LAS LAJAS  ;Nariño;10200
LAS MESAS ;Nariño;13000
LEIVA ;Nariño;13000
LINARES ;Nariño;13000
LLORENTE ;Nariño;13000
LOS ANDES ;Nariño;13000
LOS ÁNGELES ;Nariño;13000
MAGÜÍ PAYÁN ;Nariño;13000
MALLAMA ;Nariño;13000
MAPACHICO ALTO ;Nariño;13000
MAPACHICO BAJO ;Nariño;13000
MAPACHICO SAN JOSÉ ;Nariño;13000
MENESES DE HURTADO ;Nariño;13000
MOCONDINO  ;Nariño;13000
MOHECHIZA BAJO ;Nariño;13000
MOSQUERA ;Nariño;13000
MOTILÓN ;Nariño;13000
NARANJAL ;Nariño;13000
NARIÑO ;Nariño;13000
OBANDO ;Nariño;13000
OLAYA HERRERA ;Nariño;13000
OSPINA ;Nariño;13000
PASIZARA ;Nariño;13000
PASTO  ;Nariño;10200
PEDREGAL  ;Nariño;10200
PEJENDINO REYES ;Nariño;13000
PIEDRA ANCHA ;Nariño;13000
PILCUAN  ;Nariño;10200
POLACHAYAN ;Nariño;13000
POLICARPA ;Nariño;13000
POTOSÍ ;Nariño;13000
PROVIDENCIA ;Nariño;13000
PUERRES ;Nariño;13000
PUPIALES  ;Nariño;10200
RICAURTE ;Nariño;13000
ROBERTO PAYÁN ;Nariño;13000
SALAHONDA ;Nariño;13000
SAMANIEGO ;Nariño;13000
SAN ANTONIO DE ARANDA ;Nariño;13000
SAN BERNARDO ;Nariño;13000
SAN FERNANDO  ;Nariño;10200
SAN FRANCISCO  ;Nariño;10200
SAN JOSÉ ;Nariño;13000
SAN JOSÉ DE ALBÁN ;Nariño;13000
SAN JOSÉ DE COAPITAS ;Nariño;13000
SAN JOSÉ DE CÓRDOBA ;Nariño;13000
SAN JUAN  ;Nariño;10200
SAN JUAN ANGANOY  ;Nariño;10200
SAN LORENZO ;Nariño;13000
SAN PABLO ;Nariño;13000
SAN PEDRO DE CARTAGO ;Nariño;13000
SANDONÁ  ;Nariño;10200
SANTA BÁRBARA DE ISCUANDÉ ;Nariño;13000
SANTACRUZ GUACHAVÉZ ;Nariño;13000
SAPUYES ;Nariño;13000
SOTOMAYOR ;Nariño;13000
SUCUMBIOS  ;Nariño;13000
TABLÓN DE GÓMEZ ;Nariño;13000
TAMINANGO ;Nariño;13000
TANGUA  ;Nariño;10200
TESCUAL  ;Nariño;10200
TUMACO  ;Nariño;10200
TÚQUERRES  ;Nariño;10200
VILLA MORENO  ;Nariño;13000
YACUANQUER ;Nariño;13000
LAS MERCEDES ;Norte de S/der.;13000
PUERTO SANTANDER ;Norte Sant.;13000
ÁBREGO  ;Norte Santander;13000
AGUA CLARA ;Norte Santander;13000
ARBOLEDAS ;Norte Santander;13000
ASTILLEROS ;Norte Santander;13000
BOCHALEMA ;Norte Santander;13000
BUCARASICA ;Norte Santander;13000
CÁCHIRA ;Norte Santander;13000
CACOTA ;Norte Santander;13000
CHINACOTA ;Norte Santander;13000
CHITAGÁ ;Norte Santander;13000
CONVENCIÓN ;Norte Santander;13000
CÚCUTA  ;Norte Santander;10200
CUCUTILLA ;Norte Santander;13000
DURANIA ;Norte Santander;13000
EL CARMEN ;Norte Santander;13000
EL ZULIA  ;Norte Santander;10200
GRAMALOTE ;Norte Santander;13000
HERRÁN ;Norte Santander;13000
LA DONJUANA ;Norte Santander;13000
LA PARADA  ;Norte Santander;10200
LA PLAYA ;Norte Santander;13000
LABATECA ;Norte Santander;13000
LOS PATIOS  ;Norte Santander;10200
LOURDES ;Norte Santander;13000
MUTISCUA ;Norte Santander;13000
OCAÑA  ;Norte Santander;10200
PAMPLONA  ;Norte Santander;10200
PAMPLONITA ;Norte Santander;13000
RAGONVALIA ;Norte Santander;13000
SALAZAR ;Norte Santander;13000
SAN CALIXTO ;Norte Santander;13000
SAN CAYETANO ;Norte Santander;13000
SAN FAUSTINO ;Norte Santander;13000
SANTIAGO ;Norte Santander;13000
SARDINATA ;Norte Santander;13000
SILOS ;Norte Santander;13000
TEORAMA ;Norte Santander;13000
TIBÚ ;Norte Santander;13000
TOLEDO ;Norte Santander;13000
VILLA CARO ;Norte Santander;13000
VILLA DEL ROSARIO  ;Norte Santander;10200
COLÓN ;Putumayo;10200
EL TIGRE ;Putumayo;13000
LA DORADA ;Putumayo;13000
LA HORMIGA ;Putumayo;13000
LA TAGUA ;Putumayo;13000
MOCOA ;Putumayo;13000
ORITO ;Putumayo;13000
PUERTO ASÍS ;Putumayo;13000
PUERTO CAICEDO ;Putumayo;13000
PUERTO GUZMÁN ;Putumayo;13000
PUERTO LEGUIZAMO ;Putumayo;13000
SAN FRANCISCO ;Putumayo;10200
SAN MIGUEL ;Putumayo;13000
SANTIAGO ;Putumayo;10200
SIBUNDOY ;Putumayo;10200
VALLE DEL GUAMUEZ ;Putumayo;13000
VILLA GARZÓN ;Putumayo;13000
LA BELLA ;Quindio;13000
LA SILVIA ;Quindio;13000
LA VIRGINIA ;Quindio;13000
ARMENIA  ;Quindío;10200
BARCELONA ;Quindío;13000
BARRAGÁN ;Quindío;13000
BUENAVISTA ;Quindío;13000
CALARCÁ  ;Quindío;10200
CIRCASIA  ;Quindío;10200
FILANDIA ;Quindío;13000
GÉNOVA ;Quindío;13000
LA TEBAIDA  ;Quindío;10200
MONTENEGRO  ;Quindío;10200
PIJAO ;Quindío;13000
QUIMBAYA  ;Quindío;10200
SALENTO ;Quindío;13000
CÓRDOBA ;Quindío ;13000
ALTAGRACIA ;Risaralda;13000
APIA ;Risaralda;13000
ARABIA ;Risaralda;13000
BALBOA ;Risaralda;13000
BELÉN DE UMBRIA ;Risaralda;10200
CERRITOS  ;Risaralda;10200
DOSQUEBRADAS  ;Risaralda;10200
GUATICA  ;Risaralda;10200
IRRA  ;Risaralda;10200
LA CELIA ;Risaralda;13000
LA FLORIDA ;Risaralda;13000
LA VIRGINIA  ;Risaralda;10200
MARSELLA ;Risaralda;13000
MISTRATO ;Risaralda;13000
PEREIRA  ;Risaralda;10200
PUEBLO RICO ;Risaralda;13000
QUINCHÍA  ;Risaralda;10200
SAN CLEMENTE  ;Risaralda;10200
SANTA ROSA DE CABAL  ;Risaralda;10200
SANTUARIO ;Risaralda;13000
EL CARMEN DE CHUCURÍ ;S/der.;13000
AGUADA ;Santander;13000
ARATOCA  ;Santander;10200
BARBOSA  ;Santander;8000
BARICHARA  ;Santander;10200
BARRANCABERMEJA  ;Santander;10200
BERLÍN ;Santander;13000
BETULIA ;Santander;13000
BOLÍVAR ;Santander;13000
BUCARAMANGA  ;Santander;10200
CABRERA ;Santander;13000
CALIFORNIA ;Santander;13000
CAMPO 23 ;Santander;13000
CAPITANEJO ;Santander;13000
CARCASÍ ;Santander;13000
CERRITO ;Santander;13000
CHARALÁ ;Santander;10200
CHARTA ;Santander;13000
CHIMA ;Santander;13000
CHIPATÁ ;Santander;13000
CIMITARRA ;Santander;13000
CONCEPCIÓN ;Santander;10200
CONFINES ;Santander;13000
CONTRATACIÓN ;Santander;13000
COROMORO ;Santander;13000
CURITÍ  ;Santander;10200
EL CENTRO ;Santander;13000
EL GUACAMAYO ;Santander;13000
EL LLANITO ;Santander;13000
EL PEÑÓN ;Santander;13000
EL PLAYÓN  ;Santander;10200
ENCINO ;Santander;13000
ENCISO ;Santander;13000
FLORIÁN ;Santander;13000
GALÁN ;Santander;13000
GAMBITA ;Santander;13000
GIRÓN ;Santander;10200
GUACA ;Santander;13000
GUADALUPE ;Santander;13000
GUAPOTA ;Santander;13000
GUAVATÁ ;Santander;13000
GUEPSA  ;Santander;8000
HATO ;Santander;13000
HIDROSOGAMOSO  ;Santander;10200
JESUS MARÍA ;Santander;13000
LA BELLEZA ;Santander;13000
LA ESPERANZA ;Santander;10200
LA FORTUNA ;Santander;10200
LA MATA  ;Santander;10200
LA MESA DE LOS SANTOS ;Santander;13000
LA PAZ ;Santander;13000
LA PLAYA ;Santander;13000
LANDÁZURI ;Santander;13000
LEBRIJA  ;Santander;10200
LOS SANTOS ;Santander;13000
MACARAVITA ;Santander;13000
MÁLAGA ;Santander;10200
MATANZA ;Santander;13000
MOGOTES ;Santander;13000
MOLAGAVITA ;Santander;13000
OCAMONTE ;Santander;13000
OIBA  ;Santander;10200
OLIVAL ;Santander;13000
ONZAGA ;Santander;13000
PALMAR ;Santander;13000
PALMAS DEL SOCORRO ;Santander;13000
PÁRAMO ;Santander;13000
PESCADERO  ;Santander;10200
PIE DE CUESTA  ;Santander;10200
PINCHOTE  ;Santander;10200
PUENTE NACIONAL  ;Santander;8000
PUENTE SOGAMOSO ;Santander;13000
PUERTO ARAUJO ;Santander;13000
PUERTO PARRA ;Santander;13000
PUERTO WILCHES ;Santander;13000
RIONEGRO  ;Santander;10200
SABANA DE TORRES ;Santander;13000
SAN ANDRÉS ;Santander;10200
SAN BENITO ;Santander;13000
SAN GIL  ;Santander;10200
SAN JOAQUÍN ;Santander;13000
SAN JOSÉ DE MIRANDA ;Santander;10200
SAN VICENTE DE CHUCURÍ ;Santander;10200
SANTA BÁRBARA ;Santander;13000
SIMACOTA ;Santander;13000
SOCORRO  ;Santander;10200
SUAITA ;Santander;13000
SUCRE ;Santander;13000
SURATÁ ;Santander;13000
TONA ;Santander;13000
VADO REAL ;Santander;13000
VALLE DE SAN JOSÉ ;Santander;10200
VÉLEZ  ;Santander;8000
VETAS ;Santander;13000
VILLANUEVA ;Santander;10200
YARIMA ;Santander;13000
ZAPATOCA ;Santander;10200
FLORIDABLANCA ;Santander ;10200
BETULIA ;Sucre;13000
BUENAVISTA  ;Sucre;10200
CAIMITOS ;Sucre;13000
CHALÁN ;Sucre;13000
CHOCHÓ ;Sucre;13000
COLOSO ;Sucre;13000
COROZAL  ;Sucre;10200
COVEÑAS  ;Sucre;10200
EL ROBLE ;Sucre;13000
GALERAS ;Sucre;13000
GUARANDA ;Sucre;13000
LA UNIÓN ;Sucre;13000
LOS PALMITOS  ;Sucre;10200
MAJAGUAL ;Sucre;13000
MORROA  ;Sucre;10200
OVEJAS ;Sucre;13000
PALMITOS ;Sucre;13000
SAMPUÉS  ;Sucre;10200
SAN BENITO ;Sucre;13000
SAN MARCOS ;Sucre;13000
SAN ONOFRE ;Sucre;13000
SAN PEDRO  ;Sucre;10200
SINCE ;Sucre;13000
SINCELEJO  ;Sucre;10200
TOLÚ  ;Sucre;10200
TOLUVIEJO  ;Sucre;10200
ALPUJARRA ;Tolima;13000
ALVARADO  ;Tolima;10200
AMBALEMA ;Tolima;13000
ANAIME ;Tolima;13000
ANZOÁTEGUI ;Tolima;13000
ARMERO - GUAYABAL  ;Tolima;8000
ATACO ;Tolima;13000
BUENOS AIRES  ;Tolima;8000
CAJAMARCA ;Tolima;13000
CARMEN DE APICALA ;Tolima;13000
CASABIANCA ;Tolima;13000
CASTILLA  ;Tolima;8000
CHAPARRAL  ;Tolima;8000
CHICORAL  ;Tolima;8000
COELLO ;Tolima;13000
COELLO COCORA ;Tolima;13000
COYAIMA ;Tolima;13000
CUNDAY ;Tolima;13000
DOIMA ;Tolima;13000
DOLORES ;Tolima;13000
EL CONVENIO  ;Tolima;10200
EL TOTUMO ;Tolima;13000
ESPINAL  ;Tolima;8000
FALAN ;Tolima;13000
FLANDES  ;Tolima;8000
FRESNO  ;Tolima;8000
GUALANDAY  ;Tolima;8000
GUAMO  ;Tolima;8000
HERRERA ;Tolima;13000
HERVEO ;Tolima;13000
HONDA  ;Tolima;8000
IBAGUÉ  ;Tolima;8000
ICONONZO ;Tolima;13000
JUNTAS ;Tolima;13000
LA CHAMBA ;Tolima;13000
LA PALMITA ;Tolima;13000
LA SIERRA  ;Tolima;10200
LERIDA  ;Tolima;10200
LIBANO  ;Tolima;8000
LLANITOS ;Tolima;13000
MARIQUITA  ;Tolima;10200
MELGAR  ;Tolima;8000
MURILLO ;Tolima;13000
NATAGAIMA  ;Tolima;10200
ORTEGA  ;Tolima;10200
PADUA ;Tolima;13000
PALOCABILDO ;Tolima;13000
PAYANDE ;Tolima;13000
PICALEÑA  ;Tolima;8000
PIEDRAS ;Tolima;13000
PLANADAS ;Tolima;13000
PLANTA CEMEX / Caracolito ;Tolima;13000
PLANTA CEMEX / Gualanday ;Tolima;13000
PLAYA RICA ;Tolima;13000
PRADO  ;Tolima;8000
PURIFICACIÓN  ;Tolima;10200
RIOBLANCO ;Tolima;13000
RONCESVALLES ;Tolima;13000
ROVIRA ;Tolima;13000
SALDAÑA  ;Tolima;8000
SAN ANTONIO ;Tolima;13000
SAN FELIPE  ;Tolima;8000
SAN LUIS ;Tolima;13000
SANTA ISABEL ;Tolima;13000
SUÁREZ ;Tolima;13000
TOLEMAIDA  ;Tolima;8000
VALLE DE SAN JUAN ;Tolima;13000
VENADILLO  ;Tolima;8000
VILLA HERMOSA ;Tolima;13000
VILLA RESTREPO ;Tolima;13000
VILLARRICA  ;Tolima;13000
ALCALÁ  ;Valle;10200
AMAIME  ;Valle;10200
ANDALUCÍA  ;Valle;10200
ANSERMA NUEVO  ;Valle;10200
ARGELIA ;Valle;13000
BOLÍVAR ;Valle;13000
BOLO ALISAL - Palmira ;Valle;13000
BOLO ITALIA / Palmira ;Valle;13000
BOLO SAN ISIDRO - Palmira ;Valle;13000
BUENAVENTURA  ;Valle;10200
BUGA  ;Valle;10200
BUGALAGRANDE  ;Valle;10200
CAICEDONIA  ;Valle;10200
CALI  ;Valle;10200
CANDELARIA  ;Valle;10200
CARTAGO  ;Valle;10200
CAUCASECO - PALMIRA ;Valle;13000
CAVASA  ;Valle;10200
CISNEROS  ;Valle;10200
CIUDAD DEL CAMPO - PALMIRA ;Valle;10200
COSTA RICA ;Valle;13000
DAGUA ;Valle;13000
DAPA ;Valle;13000
DARIÉN ;Valle;13000
EL AGUILA ;Valle;13000
EL CABUYAL  ;Valle;13000
EL CAIRO ;Valle;13000
EL CARMELO  ;Valle;10200
EL CARMEN / Km. 30 ;Valle;13000
EL CERRITO  ;Valle;10200
EL DOVIO ;Valle;13000
EL PLACER  ;Valle;10200
EL QUEREMAL ;Valle;13000
EL SALADITO ;Valle;13000
FELIDIA - CALI ;Valle;13000
FLORIDA  ;Valle;10200
GINEBRA  ;Valle;10200
GUACARÍ  ;Valle;10200
GUANABANAL /  PALMIRA ;VALLE;13000
INGENIO CARMELITA ;Valle;13000
INGENIO DEL CAUCA INCAUCA ;Valle;13000
INGENIO LA CABAÑA ;Valle;13000
INGENIO MANUELITA ;Valle;13000
INGENIO MARIA LUISA ;Valle;13000
INGENIO MAYAGUEZ ;Valle;13000
INGENIO PICHICHI ;Valle;13000
INGENIO PROVIDENCIA ;Valle;13000
INGENIO SAN CARLOS ;Valle;13000
INGENIO SEMICAÑA ;Valle;13000
JAMUNDÍ  ;Valle;10200
JUANCHITO / CALI ;Valle;10200
LA BUITRERA / Cali ;Valle;13000
LA CUMBRE ;Valle;13000
LA DOLORES / Palmira ;Valle;13000
LA ELVIRA / Cali ;Valle;13000
LA HERRADURA / Palmira ;Valle;13000
LA PAILA  ;Valle;10200
LA UNIÓN  ;Valle;10200
LA URIBE  ;Valle;10200
LA VICTORIA  ;Valle;10200
LOBOGUERRERO  ;Valle;10200
MEDIA CANOA ;Valle;13000
MONTEBELLO / Cali ;Valle;13000
MULALÓ / Yumbo ;Valle;13000
OBANDO  ;Valle;10200
PALMASECA / Palmira ;Valle;10200
PALMIRA  ;Valle;10200
PANCE / Cali ;Valle;13000
PAVAS ;Valle;13000
POTRERITO - Jamundi ;Valle;13000
PRADERA  ;Valle;10200
PRESIDENTE  ;Valle;10200
RESTREPO ;Valle;13000
RIOFRÍO ;Valle;13000
ROLDANILLO  ;Valle;10200
ROZO ;Valle;10200
SAN MARCOS ;Valle;13000
SAN PEDRO  ;Valle;10200
SANTA ELENA / Palmira ;Valle;13000
SEVILLA  ;Valle;10200
SONSO ;Valle;13000
TABLONES / Palmira ;Valle;13000
TIENDA NUEVA ;Valle;13000
TORO  ;Valle;10200
TRUJILLO ;Valle;13000
TULUÁ  ;Valle;10200
ULLOA ;Valle;13000
VERSALLES ;Valle;13000
VIJES ;Valle;13000
VILLA GORGONA   ;Valle;10200
YOTOCO ;Valle;13000
YUMBO  ;Valle;10200
ZARAGOZA  ;Valle;10200
ZARZAL  ;Valle;10200